"","id","meanptdt_CS","meanptdt_US","meandt_CS","meandt_US","gazeidx","backgroundgaze","STGT_ter"
"1",301,0.14138,0.32466,314.6,754.7,-0.18328,0.53396,"GT"
"2",302,0.64491,0.02787,2115,91.6,0.61704,0.32722,"ST"
"3",303,0.14265,0.34197,459,1120.5,-0.19932,0.51538,"GT"
"4",304,0.60065,0.33044,2188.2,1194.6,0.27021,0.06891,"ST"
"5",305,0.89045,0.04901,3096.4,157.6,0.84144,0.06054,"ST"
"6",306,0.41931,0.24673,1241.4,729.6,0.17258,0.33396,"IM"
"7",307,0.27773,0.11047,792.3,301.7,0.16726,0.6118,"IM"
"8",308,0.1199,0.68804,397.7,2253.7,-0.56814,0.19206,"GT"
"9",309,0.40202,0.49818,1398.9,1533.2,-0.09616,0.0998,"IM"
"10",310,0.10614,0.68727,303.9,2023.5,-0.58113,0.20659,"GT"
"11",311,0.95272,0.02371,3374.5,82.1,0.92901,0.02357,"ST"
"12",312,0.32571,0.37752,1004.3,935.1,-0.05181,0.29677,"IM"
"13",313,1,0,3798.1,0,1,0,"ST"
"14",314,0,1,0,3889.1,-1,0,"GT"
"15",315,0.28733,0.2727,965.3,911,0.01463,0.43997,"IM"
"16",316,0.65667,0.04383,1100.4,92.8,0.61284,0.2995,"ST"
"17",317,0.07027,0.89093,251.9,3268.2,-0.82066,0.0387999999999999,"GT"
"18",318,0.3331,0.55168,1251.3,2026.2,-0.21858,0.11522,"GT"
"19",319,0.03437,0.94133,128.4,3553.3,-0.90696,0.0243,"GT"
"20",320,0.38845,0.07514,1071.5,145.4,0.31331,0.53641,"ST"
"21",321,0.28733,0.4936,1040.5,1865,-0.20627,0.21907,"GT"
"22",323,0.41303,0.09202,1418.1,308.6,0.32101,0.49495,"ST"
"23",324,0.65311,0.22844,2260.2,865.6,0.42467,0.11845,"ST"
"24",325,0.13822,0.31472,509.5,1102.7,-0.1765,0.54706,"GT"
"25",326,0.15604,0.07386,532.2,236.6,0.08218,0.7701,"IM"
"26",328,0.16372,0.43991,514.6,1421.3,-0.27619,0.39637,"GT"
"27",329,0.68541,0.15473,2345.9,533.6,0.53068,0.15986,"ST"
"28",330,0.23572,0.28289,755.8,911.1,-0.04717,0.48139,"IM"
"29",331,0.44055,0.26249,1204.6,662.1,0.17806,0.29696,"IM"
"30",332,0.51379,0.30301,1220.4,784.8,0.21078,0.1832,"IM"
"31",333,0.17782,0.19209,490.9,528.8,-0.01427,0.63009,"IM"
"32",334,0.12556,0.41337,371.8,1064,-0.28781,0.46107,"GT"
"33",335,0.3271,0.18404,1168.9,660.8,0.14306,0.48886,"IM"
"34",336,0.15875,0.37276,495.9,1228.8,-0.21401,0.46849,"GT"
"35",337,0.75661,0.04339,673.8,138.1,0.71322,0.2,"ST"
"36",338,0.58751,0.33076,1889,1038.5,0.25675,0.0817300000000001,"IM"
"37",339,0.31049,0.44968,790.8,1225.5,-0.13919,0.23983,"IM"
"38",340,0.35437,0.44477,1066.3,1289.7,-0.0904,0.20086,"IM"
"39",341,0.92111,0.05957,3057.8,201.6,0.86154,0.01932,"ST"
"40",342,0.80157,0.0817,2909.8,299.8,0.71987,0.11673,"ST"
"41",343,0.3187,0.53311,1024,1714.6,-0.21441,0.14819,"GT"
"42",344,0.9633,0,3641.2,0,0.9633,0.0367,"ST"
"43",345,0.6458,0.02403,2229.7,83.2,0.62177,0.33017,"ST"
"44",346,0.26495,0.68232,812.3,2479.9,-0.41737,0.0527299999999999,"GT"
"45",347,0.71509,0.15767,2475,501.1,0.55742,0.12724,"ST"
"46",348,0.87212,0.00108,3364.7,4.1,0.87104,0.1268,"ST"
"47",349,0.30246,0.47705,1158.3,1864,-0.17459,0.22049,"IM"
"48",350,0.24601,0.66353,648.1,1930.4,-0.41752,0.09046,"GT"
"49",351,0.12136,0.85034,426.8,3025.9,-0.72898,0.0283,"GT"
"50",352,0.62826,0.32155,2266.8,1069.2,0.30671,0.05019,"ST"
"51",353,0.4398,0.4416,1493.3,1437.1,-0.00179999999999997,0.1186,"IM"
"52",354,0.19926,0.61041,625.7,1922.7,-0.41115,0.19033,"GT"
"53",356,0.2735,0.64505,910.2,2109,-0.37155,0.08145,"GT"
"54",357,0.71438,0.02087,2095,55,0.69351,0.26475,"ST"
"55",358,0.30049,0.23741,887.2,692.1,0.06308,0.4621,"IM"
"56",359,0.50643,0.44883,1813.6,1600.3,0.0576,0.04474,"IM"
