"id","version","CSplus","CSminus","CSplus_num","CSminus_num"
"101","1",678,671,4,4
"102","4",660,275,4,1
"103","4",648,541,4,3
"104","3",786,294,5,1
"105","2",669,659,4,4
"106","3",546,544,3,3
"107","1",650,539,4,3
"108","1",544,521,3,3
"109","2",778,297,5,1
"111","3",665,408,4,2
"112","4",664,550,4,3
"113","1",670,393,4,2
"114","4",662,662,4,4
"115","3",774,266,5,1
"116","3",771,293,5,1
"117","1",393,403,2,2
"118","3",782,401,5,2
"119","1",656,410,4,2
"120","1",668,664,4,4
"122","4",668,542,4,3
"123","1",777,538,5,3
"124","3",408,649,2,4
"125","3",661,666,4,4
"126","3",684,533,4,3
"127","4",663,257,4,1
"128","3",776,273,5,1
"129","4",384,540,2,3
"130","1",665,247,4,1
"131","1",534,670,3,4
"132","2",773,265,5,1
"133","2",770,543,5,3
"134","4",769,676,5,4
"135","2",766,761,5,5
"136","1",788,294,5,1
"137","2",548,548,3,3
"138","2",524,391,3,2
"139","1",669,523,4,3
"140","2",555,418,3,2
"141","1",781,294,5,1
"142","2",783,542,5,3
"143","2",526,644,3,4
"144","4",658,405,4,2
"145","2",791,293,5,1
"146","1",776,276,5,1
"147","1",533,533,3,3
"148","2",668,400,4,2
"149","1",686,299,4,1
"150","1",552,407,3,2
"151","2",771,265,5,1
"152","3",556,659,3,4
"153","1",784,396,5,2
"155","1",776,272,5,1
"156","1",792,512,5,3
"157","4",682,525,4,3
"158","4",760,256,5,1
"159","4",760,760,5,5
"160","3",411,539,2,3
"161","4",525,393,3,2
"162","4",782,393,5,2
"163","4",766,667,5,4
"164","4",667,519,4,3
"165","4",658,281,4,1
"166","1",676,385,4,2
"167","1",770,535,5,3
"168","2",665,276,4,1
"169","3",644,401,4,2
"170","2",644,293,4,1
"172","4",660,404,4,2
"173","4",670,527,4,3
"174","3",673,411,4,2
"175","2",782,420,5,2
"176","3",665,276,4,1
"178","1",543,545,3,3
"179","3",653,775,4,5
"181","4",660,660,4,4
"183","4",653,534,4,3
"184","2",676,277,4,1
"185","1",664,272,4,1
"186","4",658,405,4,2
"187","2",780,404,5,2
"188","3",781,274,5,1
"189","2",641,641,4,4
"190","3",416,674,2,4
"191","1",541,657,3,4
"192","2",764,549,5,3
"193","3",654,265,4,1
"194","1",667,536,4,3
"195","2",665,374,4,2
"196","4",517,670,3,4
"197","2",776,647,5,4
"198","3",660,385,4,2
"199","1",299,554,1,3
"200","1",787,276,5,1
"202","2",790,262,5,1
"203","2",674,386,4,2
"205","4",413,537,2,3
"206","4",774,537,5,3
"207","3",672,415,4,2
"208","2",659,397,4,2
"210","1",785,285,5,1
"211","3",655,397,4,2
"212","3",771,394,5,2
"213","2",666,268,4,1
"214","3",268,783,1,5
"215","4",680,517,4,3
"216","2",647,274,4,1
"217","2",658,271,4,1
"218","4",782,270,5,1
"220","4",787,279,5,1
"221","3",759,290,5,1
"222","1",666,671,4,4
"223","2",663,661,4,4
"224","3",637,410,4,2
"225","1",677,406,4,2
"226","4",794,774,5,5
"227","4",665,653,4,4
"228","3",674,520,4,3
"229","4",769,268,5,1
"230","2",671,389,4,2
"231","3",764,532,5,3
